#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
-0.082         -0.408          eV/angstrom    0.154    0.0104    0.047     31    2     forces('Ar32_frame001')
-0.030         -0.136          eV/angstrom    0.154    0.0104    0.005     0     0     forces('Ar32_frame002')
-0.040         -0.237          eV/angstrom    0.154    0.0104    0.017     0     1     forces('Ar32_frame002')
-0.108         -0.497          eV/angstrom    0.154    0.0104    0.066     0     2     forces('Ar32_frame002')
-0.112         -0.628          eV/angstrom    0.154    0.0104    0.117     1     0     forces('Ar32_frame002')
+0.079         +0.394          eV/angstrom    0.154    0.0104    0.043     1     1     forces('Ar32_frame002')
+0.033         +0.165          eV/angstrom    0.154    0.0104    0.008     1     2     forces('Ar32_frame002')
-0.019         -0.148          eV/angstrom    0.154    0.0104    0.007     2     0     forces('Ar32_frame002')
+0.086         +0.488          eV/angstrom    0.154    0.0104    0.071     2     1     forces('Ar32_frame002')
+0.077         +0.424          eV/angstrom    0.154    0.0104    0.053     2     2     forces('Ar32_frame002')
+0.011         +0.037          eV/angstrom    0.154    0.0104    0.000     3     0     forces('Ar32_frame002')
-0.028         -0.137          eV/angstrom    0.154    0.0104    0.005     3     1     forces('Ar32_frame002')
-0.011         -0.055          eV/angstrom    0.154    0.0104    0.001     3     2     forces('Ar32_frame002')
-0.007         -0.070          eV/angstrom    0.154    0.0104    0.002     4     0     forces('Ar32_frame002')
+0.022         +0.085          eV/angstrom    0.154    0.0104    0.002     4     1     forces('Ar32_frame002')
-0.204         -1.061          eV/angstrom    0.154    0.0104    0.321     4     2     forces('Ar32_frame002')
+0.088         +0.452          eV/angstrom    0.154    0.0104    0.058     5     0     forces('Ar32_frame002')
-0.071         -0.364          eV/angstrom    0.154    0.0104    0.038     5     1     forces('Ar32_frame002')
+0.018         +0.105          eV/angstrom    0.154    0.0104    0.003     5     2     forces('Ar32_frame002')
+0.008         +0.025          eV/angstrom    0.154    0.0104    0.000     6     0     forces('Ar32_frame002')
+0.096         +0.495          eV/angstrom    0.154    0.0104    0.070     6     1     forces('Ar32_frame002')
-0.097         -0.511          eV/angstrom    0.154    0.0104    0.075     6     2     forces('Ar32_frame002')
-0.001         +0.031          eV/angstrom    0.154    0.0104    0.000     7     0     forces('Ar32_frame002')
-0.028         -0.141          eV/angstrom    0.154    0.0104    0.006     7     1     forces('Ar32_frame002')
-0.082         -0.394          eV/angstrom    0.154    0.0104    0.043     7     2     forces('Ar32_frame002')
-0.074         -0.380          eV/angstrom    0.154    0.0104    0.041     8     0     forces('Ar32_frame002')
-0.030         -0.184          eV/angstrom    0.154    0.0104    0.010     8     1     forces('Ar32_frame002')
+0.026         +0.135          eV/angstrom    0.154    0.0104    0.005     8     2     forces('Ar32_frame002')
-0.100         -0.449          eV/angstrom    0.154    0.0104    0.053     9     0     forces('Ar32_frame002')
-0.075         -0.348          eV/angstrom    0.154    0.0104    0.033     9     1     forces('Ar32_frame002')
-0.160         -0.801          eV/angstrom    0.154    0.0104    0.180     9     2     forces('Ar32_frame002')
-0.264         -1.269          eV/angstrom    0.154    0.0104    0.442     10    0     forces('Ar32_frame002')
-0.073         -0.360          eV/angstrom    0.154    0.0104    0.036     10    1     forces('Ar32_frame002')
-0.179         -0.880          eV/angstrom    0.154    0.0104    0.215     10    2     forces('Ar32_frame002')
+0.119         +0.565          eV/angstrom    0.154    0.0104    0.087     11    0     forces('Ar32_frame002')
+0.204         +0.971          eV/angstrom    0.154    0.0104    0.258     11    1     forces('Ar32_frame002')
-0.089         -0.458          eV/angstrom    0.154    0.0104    0.060     11    2     forces('Ar32_frame002')
+0.075         +0.346          eV/angstrom    0.154    0.0104    0.032     12    0     forces('Ar32_frame002')
+0.026         +0.122          eV/angstrom    0.154    0.0104    0.004     12    1     forces('Ar32_frame002')
+0.179         +0.865          eV/angstrom    0.154    0.0104    0.206     12    2     forces('Ar32_frame002')
+0.021         +0.126          eV/angstrom    0.154    0.0104    0.005     13    0     forces('Ar32_frame002')
