s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_LJ AIR
 1.9813658E-001, 0.0000000E+000, 0.0000000E+000,-3.3040237E-016, 9.2666858E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3105480E-015, 5.9626621E-016, 4.6566695E-003
 1.9967420E-001, 0.0000000E+000, 0.0000000E+000,-3.1974423E-016, 9.2666858E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6210959E-015, 6.0692435E-016, 4.6921571E-003
 2.0121181E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3105480E-015, 5.8041863E-016, 4.7276233E-003
 2.0274942E-001, 0.0000000E+000, 0.0000000E+000,-3.2329694E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9316439E-015, 5.9462948E-016, 4.7630680E-003
 2.0413317E-001, 0.0000000E+000, 0.0000000E+000,-3.3395509E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5674288E-015, 5.8688539E-016, 4.7984911E-003
 2.0551693E-001, 0.0000000E+000, 0.0000000E+000,-3.2684966E-016, 9.3249669E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0564703E-016, 4.8303513E-003
 2.0690070E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.3832479E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0081699E-016, 4.8621938E-003
 2.0828447E-001, 0.0000000E+000, 0.0000000E+000,-3.1974423E-016, 9.3832479E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1858056E-016, 4.8940185E-003
 2.0966822E-001, 0.0000000E+000, 0.0000000E+000,-3.3395509E-016, 9.3832479E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 6.0436971E-016, 4.9258252E-003
 2.1105199E-001, 0.0000000E+000, 0.0000000E+000,-3.3395509E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8688539E-016, 4.9576138E-003
 2.1243575E-001, 0.0000000E+000, 0.0000000E+000,-3.4106051E-016, 9.2084048E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.7977997E-016, 4.9893842E-003
 2.1381952E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.1501238E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.7750458E-016, 5.0211364E-003
 2.1520329E-001, 0.0000000E+000, 0.0000000E+000,-3.6237680E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.7022863E-015, 5.5554963E-016, 5.0528702E-003
 2.1658704E-001, 0.0000000E+000, 0.0000000E+000,-3.4106051E-016, 9.2375453E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5674288E-015, 5.8269402E-016, 5.0845854E-003
 2.1797080E-001, 0.0000000E+000, 0.0000000E+000,-3.4816594E-016, 9.2666858E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7850264E-016, 5.1162821E-003
 2.1935457E-001, 0.0000000E+000, 0.0000000E+000,-3.6592951E-016, 9.2666858E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5674288E-015, 5.6073907E-016, 5.1479601E-003
 2.2073834E-001, 0.0000000E+000, 0.0000000E+000,-3.4106051E-016, 9.2375453E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.8269402E-016, 5.1796193E-003
 2.2212210E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.1792643E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8041863E-016, 5.2112596E-003
 2.2350585E-001, 0.0000000E+000, 0.0000000E+000,-3.3750780E-016, 9.0627022E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5674288E-015, 5.6876242E-016, 5.2428808E-003
