s,Pa,m/s,
Time,"pres","error","iter"
 3.2801930E-001, 5.3680721E-002, 5.0536252E-005, 1.0000000E+000
 3.3072568E-001, 5.3604654E-002, 3.7839983E-005, 1.0000000E+000
 3.3252993E-001, 5.3527353E-002, 4.0727420E-005, 1.0000000E+000
 3.3433419E-001, 5.3465231E-002, 4.2608174E-005, 1.0000000E+000
 3.3613844E-001, 5.3402869E-002, 4.3264721E-005, 1.0000000E+000
 3.3884483E-001, 5.3324570E-002, 4.1844246E-005, 1.0000000E+000
 3.4064908E-001, 5.3245927E-002, 4.1202860E-005, 1.0000000E+000
 3.4245334E-001, 5.3182738E-002, 4.1746746E-005, 1.0000000E+000
 3.4425759E-001, 5.3119316E-002, 4.2275421E-005, 1.0000000E+000
 3.4606185E-001, 5.3055662E-002, 4.2394965E-005, 1.0000000E+000
 3.4876823E-001, 5.2975759E-002, 4.2328304E-005, 1.0000000E+000
 3.5057248E-001, 5.2895523E-002, 4.2449553E-005, 1.0000000E+000
 3.5237674E-001, 5.2831069E-002, 4.2664698E-005, 1.0000000E+000
 3.5418100E-001, 5.2766389E-002, 4.2841514E-005, 1.0000000E+000
 3.5688738E-001, 5.2685212E-002, 4.2975367E-005, 1.0000000E+000
 3.5869163E-001, 5.2603711E-002, 4.3101484E-005, 1.0000000E+000
 3.6049589E-001, 5.2538253E-002, 4.3229587E-005, 1.0000000E+000
 3.6230014E-001, 5.2472575E-002, 4.3366222E-005, 1.0000000E+000
 3.6410440E-001, 5.2406680E-002, 4.3495733E-005, 1.0000000E+000
 3.6681078E-001, 5.2323995E-002, 4.3649551E-005, 1.0000000E+000
 3.6861504E-001, 5.2240997E-002, 4.3806850E-005, 1.0000000E+000
 3.7041929E-001, 5.2174350E-002, 4.3936946E-005, 1.0000000E+000
 3.7213316E-001, 5.2111163E-002, 3.8285764E-005, 1.0000000E+000
 3.7456839E-001, 5.2036254E-002, 3.4079134E-005, 1.0000000E+000
 3.7619187E-001, 5.1960563E-002, 3.6313028E-005, 1.0000000E+000
 3.7862710E-001, 5.1884592E-002, 3.7606216E-005, 1.0000000E+000
 3.8025058E-001, 5.1808379E-002, 3.6607063E-005, 1.0000000E+000
 3.8268580E-001, 5.1731891E-002, 3.5790011E-005, 1.0000000E+000
